Event#, Q2, W, MX, xF1, xF2, y, x, z, Mh, phperp, phiH, phiR, theta
324283, 3.17, 3.39, 1.65, 0.28, 0.28, 0.69, 0.23, 0.63, 0.34, 1.09, 2.74, 1.17, 0.73
326903, 3.74, 3.44, 1.99, 0.17, 0.17, 0.74, 0.25, 0.54, 1.25, 0.47, 1.35, 4.92, 1.62
332468, 7.29, 2.97, 1.57, 0.38, 0.38, 0.77, 0.48, 0.73, 0.60, 0.41, 4.14, 1.40, 1.41
334082, 2.37, 3.64, 2.45, 0.17, 0.17, 0.74, 0.16, 0.42, 0.49, 0.83, 1.98, 4.52, 1.40
335778, 3.01, 3.18, 1.79, 0.12, 0.12, 0.62, 0.25, 0.64, 0.43, 0.71, 3.15, 3.06, 1.94
336117, 2.20, 3.78, 1.66, 0.18, 0.18, 0.78, 0.14, 0.84, 0.77, 0.34, 4.31, 5.66, 2.05
336631, 3.04, 3.11, 1.71, 0.24, 0.24, 0.59, 0.26, 0.61, 1.13, 0.48, 4.93, 2.77, 1.43
337037, 1.77, 3.61, 2.54, 0.24, 0.24, 0.70, 0.13, 0.48, 0.56, 0.41, 2.72, 4.64, 1.36
338516, 2.25, 3.48, 2.29, 0.22, 0.22, 0.68, 0.17, 0.58, 0.53, 0.22, 2.48, 0.62, 1.70
345346, 3.68, 2.89, 1.90, 0.14, 0.14, 0.56, 0.33, 0.54, 0.64, 0.36, 0.52, 5.24, 1.73
349229, 2.50, 3.05, 1.96, 0.10, 0.10, 0.55, 0.23, 0.49, 1.04, 0.09, 0.83, 0.64, 1.45
349927, 3.42, 3.36, 1.88, 0.10, 0.10, 0.70, 0.25, 0.62, 0.61, 0.79, 2.69, 4.00, 1.95
351290, 2.31, 3.47, 2.28, 0.26, 0.26, 0.68, 0.17, 0.49, 0.74, 0.59, 1.02, 3.47, 1.32
351290, 2.31, 3.47, 2.34, 0.15, 0.15, 0.68, 0.17, 0.44, 0.91, 0.45, 1.51, 3.39, 1.42
354479, 1.44, 3.58, 2.01, 0.15, 0.15, 0.67, 0.11, 0.60, 1.36, 0.37, 2.45, 1.71, 1.38
356258, 4.81, 3.36, 2.17, 0.20, 0.20, 0.77, 0.32, 0.54, 0.54, 0.58, 3.38, 5.40, 1.62
361922, 3.73, 2.98, 1.84, 0.25, 0.25, 0.59, 0.32, 0.64, 0.49, 0.36, 4.82, 0.14, 1.60
365133, 3.19, 3.22, 2.24, 0.19, 0.19, 0.64, 0.25, 0.43, 0.78, 0.38, 0.70, 4.16, 1.47
369513, 3.21, 3.37, 2.20, 0.15, 0.15, 0.69, 0.23, 0.49, 0.84, 0.52, 3.65, 4.77, 1.33
370646, 3.51, 2.80, 1.75, 0.18, 0.18, 0.53, 0.34, 0.62, 0.33, 0.43, 4.46, 3.91, 1.96
371495, 2.66, 3.60, 2.48, 0.14, 0.14, 0.74, 0.18, 0.43, 0.61, 0.67, 4.61, 1.97, 1.84
371753, 2.45, 3.77, 2.23, 0.03, 0.03, 0.79, 0.16, 0.52, 0.87, 0.87, 1.57, 0.60, 1.72
373435, 5.15, 3.32, 1.93, 0.17, 0.17, 0.77, 0.34, 0.60, 1.17, 0.27, 0.84, 4.92, 1.62
374333, 1.95, 3.26, 1.77, 0.30, 0.30, 0.59, 0.17, 0.67, 0.59, 0.69, 3.38, 5.80, 1.53
374770, 5.14, 2.61, 1.72, 0.20, 0.20, 0.56, 0.46, 0.55, 0.60, 0.25, 2.46, 0.28, 1.60
375365, 2.03, 3.20, 1.80, 0.03, 0.03, 0.57, 0.18, 0.64, 1.03, 0.41, 2.81, 4.04, 1.95
378608, 5.37, 3.21, 2.04, 0.18, 0.18, 0.74, 0.36, 0.48, 0.40, 0.79, 2.25, 4.12, 1.27
379164, 1.67, 3.86, 2.56, 0.24, 0.24, 0.79, 0.11, 0.49, 1.14, 0.01, 6.28, 3.36, 1.21
379164, 1.67, 3.86, 2.34, 0.13, 0.13, 0.79, 0.11, 0.45, 0.76, 1.01, 5.79, 4.15, 1.28
380316, 6.14, 3.19, 2.07, 0.09, 0.09, 0.77, 0.40, 0.50, 0.78, 0.48, 1.96, 0.72, 1.67
381711, 6.64, 2.84, 1.67, 0.10, 0.10, 0.69, 0.48, 0.61, 0.63, 0.53, 4.20, 2.23, 2.08
